time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
1.116379,-0.279184503395,-0.736310778185,-0.757403014018,1.63599051028,0.564121434745,0.889325361777,-0.328655383804,100.0,-0.466713654714,-1.07532053231,1.03160207985,1.57117982199,-0.399601995244,1.36869435799,-0.260393238744,100.0
1.116505,-0.279184503395,-0.736310778185,-0.757403014018,1.63599051028,0.564121434745,0.889325361777,-0.328655383804,100.0,-0.466713654714,-1.07532053231,1.03160207985,1.57117982199,-0.399601995244,1.36869435799,-0.260393238744,100.0
1.126627,-0.279567998592,-0.735160292594,-0.758170004412,1.63599051028,0.563354444351,0.889325361777,-0.327504898214,100.0,-0.466713654714,-1.07532053231,1.03160207985,1.57117982199,-0.399601995244,1.3679273676,-0.25962624835,100.0
1.136612,-0.278417513001,-0.736310778185,-0.757786509215,1.63522351989,0.563354444351,0.88894186658,-0.327888393411,100.0,-0.466713654714,-1.07455354191,1.03160207985,1.57117982199,-0.399218500047,1.3679273676,-0.260009743547,100.0
1.146600,-0.278417513001,-0.735160292594,-0.757786509215,1.63675750067,0.562970949154,0.889708856974,-0.328271888607,100.0,-0.466330159517,-1.07455354191,1.03198557505,1.57117982199,-0.399218500047,1.3679273676,-0.260009743547,100.0
1.156631,-0.279184503395,-0.735927282988,-0.757403014018,1.63560701508,0.563354444351,0.889325361777,-0.328271888607,100.0,-0.467097149911,-1.07455354191,1.03160207985,1.57156331719,-0.399601995244,1.3679273676,-0.259242753153,100.0
1.166704,-0.279184503395,-0.736310778185,-0.757786509215,1.63675750067,0.563737939548,0.889708856974,-0.327888393411,100.0,-0.467097149911,-1.07455354191,1.03160207985,1.57156331719,-0.399218500047,1.36831086279,-0.25962624835,100.0
1.176620,-0.280334988986,-0.736310778185,-0.757019518821,1.63599051028,0.564121434745,0.889325361777,-0.328655383804,100.0,-0.466713654714,-1.07532053231,1.03198557505,1.57156331719,-0.399985490441,1.36869435799,-0.260393238744,100.0
1.186680,-0.278417513001,-0.735160292594,-0.758553499609,1.63599051028,0.563737939548,0.88894186658,-0.327888393411,100.0,-0.466713654714,-1.07455354191,1.03160207985,1.57117982199,-0.399601995244,1.36831086279,-0.258859257956,100.0
1.196632,-0.278417513001,-0.735927282988,-0.757786509215,1.63637400548,0.563354444351,0.889708856974,-0.327888393411,100.0,-0.467097149911,-1.07493703711,1.03198557505,1.57117982199,-0.39883500485,1.36869435799,-0.25962624835,100.0
1.206617,-0.278801008198,-0.735927282988,-0.757403014018,1.63599051028,0.563737939548,0.889708856974,-0.327888393411,100.0,-0.46594666432,-1.07455354191,1.03121858466,1.57156331719,-0.399985490441,1.36831086279,-0.25962624835,100.0
1.216680,-0.279184503395,-0.735927282988,-0.757019518821,1.63714099587,0.563737939548,0.890092352171,-0.327504898214,100.0,-0.467097149911,-1.07455354191,1.03236907025,1.57194681239,-0.399985490441,1.36831086279,-0.260393238744,100.0
1.226637,-0.279184503395,-0.735927282988,-0.758553499609,1.63599051028,0.563354444351,0.889325361777,-0.328655383804,100.0,-0.467097149911,-1.07532053231,1.03198557505,1.57156331719,-0.399985490441,1.36831086279,-0.260393238744,100.0
1.236656,-0.279567998592,-0.736310778185,-0.757403014018,1.63560701508,0.563737939548,0.889325361777,-0.329038879001,100.0,-0.466713654714,-1.07455354191,1.03083508946,1.57156331719,-0.399601995244,1.36831086279,-0.260776733941,100.0
1.246632,-0.279567998592,-0.736310778185,-0.757403014018,1.63599051028,0.563354444351,0.889325361777,-0.328271888607,100.0,-0.467097149911,-1.07417004672,1.03160207985,1.57079632679,-0.399601995244,1.36869435799,-0.260776733941,100.0
1.256841,-0.278801008198,-0.736310778185,-0.756636023624,1.63522351989,0.563354444351,0.888558371383,-0.328655383804,100.0,-0.465563169123,-1.07532053231,1.03160207985,1.57156331719,-0.399601995244,1.36831086279,-0.25962624835,100.0
1.266666,-0.278801008198,-0.735927282988,-0.757403014018,1.63675750067,0.564121434745,0.889325361777,-0.327888393411,100.0,-0.466713654714,-1.07493703711,1.03160207985,1.57117982199,-0.399985490441,1.36831086279,-0.260776733941,100.0
1.276621,-0.279184503395,-0.735927282988,-0.757019518821,1.63675750067,0.564121434745,0.889325361777,-0.327504898214,100.0,-0.466713654714,-1.07493703711,1.03121858466,1.57194681239,-0.399985490441,1.3679273676,-0.260393238744,100.0
1.286631,-0.279184503395,-0.736310778185,-0.757403014018,1.63599051028,0.563737939548,0.88894186658,-0.328655383804,100.0,-0.466330159517,-1.07493703711,1.03198557505,1.57117982199,-0.399218500047,1.3679273676,-0.259242753153,100.0
1.296652,-0.279567998592,-0.735927282988,-0.757019518821,1.63599051028,0.563354444351,0.889325361777,-0.328271888607,100.0,-0.466713654714,-1.07493703711,1.03121858466,1.57117982199,-0.400752480835,1.36831086279,-0.260009743547,100.0
1.306668,-0.278417513001,-0.735927282988,-0.757403014018,1.63599051028,0.563737939548,0.88894186658,-0.328271888607,100.0,-0.467097149911,-1.07532053231,1.03160207985,1.57117982199,-0.399218500047,1.36831086279,-0.260393238744,100.0
1.316628,-0.279184503395,-0.736310778185,-0.757403014018,1.63599051028,0.564121434745,0.889325361777,-0.327888393411,100.0,-0.466713654714,-1.07455354191,1.03121858466,1.57156331719,-0.399601995244,1.36869435799,-0.260393238744,100.0
1.326603,-0.279567998592,-0.735160292594,-0.757019518821,1.63560701508,0.563737939548,0.889325361777,-0.327888393411,100.0,-0.466330159517,-1.07455354191,1.03121858466,1.5704128316,-0.400368985638,1.36831086279,-0.260393238744,100.0
